Resource,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2
Zone,1,2,1,2
CO2,CO2 gross,CO2 gross,CO2 net,CO2 net
x322,-118.28507983685701,-0.0,-118.28507983685701,0.0
x323,-118.28507983760217,-0.0,-118.28507983760217,0.0
x324,-118.28507983694828,-0.0,-118.28507983694828,0.0
x325,-118.2850798361175,-0.0,-118.2850798361175,0.0
x326,-118.28507983534881,-0.0,-118.28507983534881,0.0
x327,-118.28507983433784,-0.0,-118.28507983433784,0.0
x328,-118.28507983324057,-0.0,-118.28507983324057,0.0
x329,-118.28507901295161,-0.0,-118.28507901295161,0.0
x330,-118.2850788928803,-0.0,-118.2850788928803,0.0
x331,-11.11989763758035,-0.0,-11.11989763758035,0.0
x332,-118.2850788949994,-0.0,-118.2850788949994,0.0
x333,-118.2850788936302,-0.0,-118.2850788936302,0.0
x334,-118.28507889182885,-0.0,-118.28507889182885,0.0
x335,-118.28507889044572,-0.0,-118.28507889044572,0.0
x336,-118.2850788887338,-0.0,-118.2850788887338,0.0
x337,-118.28507982548116,-0.0,-118.28507982548116,0.0
x338,-118.28507982266747,-0.0,-118.28507982266747,0.0
x339,-118.28508028603929,-0.0,-118.28508028603929,0.0
x340,-118.28508029548784,-0.0,-118.28508029548784,0.0
x341,-118.28508029452071,-0.0,-118.28508029452071,0.0
x342,-118.28508029310657,-0.0,-118.28508029310657,0.0
x343,-118.28508029143016,-0.0,-118.28508029143016,0.0
x344,-118.28508029006989,-0.0,-118.28508029006989,0.0
x345,-118.28508051516327,-0.0,-118.28508051516327,0.0
x346,-118.28508051132545,-0.0,-118.28508051132545,0.0
x347,-118.28508050999748,-0.0,-118.28508050999748,0.0
x348,-118.28508050870093,-0.0,-118.28508050870093,0.0
x349,-118.2850805069609,-0.0,-118.2850805069609,0.0
x350,-118.28508050596118,-0.0,-118.28508050596118,0.0
x351,-118.28508050508007,-0.0,-118.28508050508007,0.0
x352,-118.28508050383581,-0.0,-118.28508050383581,0.0
x353,-118.28508050308517,-0.0,-118.28508050308517,0.0
x354,-118.28508050281705,-0.0,-118.28508050281705,0.0
x355,-118.28508050234447,-0.0,-118.28508050234447,0.0
x356,-118.28508050209929,-0.0,-118.28508050209929,0.0
x357,-118.28508048774344,-0.0,-118.28508048774344,0.0
x358,-118.28508049270597,-0.0,-118.28508049270597,0.0
x359,-118.28508049359236,-0.0,-118.28508049359236,0.0
x360,-118.28508049412748,-0.0,-118.28508049412748,0.0
x361,-118.28508049400735,-0.0,-118.28508049400735,0.0
x362,-118.28508049405268,-0.0,-118.28508049405268,0.0
x363,-118.28508049439418,-0.0,-118.28508049439418,0.0
x364,-118.2850804941778,-0.0,-118.2850804941778,0.0
x365,-118.28508049413983,-0.0,-118.28508049413983,0.0
x366,-118.28508049456734,-0.0,-118.28508049456734,0.0
x367,-118.28508049456418,-0.0,-118.28508049456418,0.0
x368,-118.2850804945784,-0.0,-118.2850804945784,0.0
x369,-118.28508049510553,-0.0,-118.28508049510553,0.0
x370,-118.28508049448833,-0.0,-118.28508049448833,0.0
x371,-118.28508049400487,-0.0,-118.28508049400487,0.0
x372,-118.28508049396915,-0.0,-118.28508049396915,0.0
